"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
23,3,15.9,0,13.5,17,3.7,29.1,1,2,862,8,3.17,230.47,11
5,13,15.4,3,9.9,27,3.4,31.4,1,3,734,9,5.08,581.3,4
12,5,15.7,3,9.4,22,3.7,48.4,21,2,484,7,4.36,448.85,1
12,14,16.4,2,12.1,24,3.8,30.7,1,3,621,7,2.59,250.39,5
19,2,15.7,0,11.2,22,3.8,35.8,4,3,621,8,6.68,666.12,13
16,13,16.7,3,12.2,23,4.1,26.3,1,4,978,9,3.99,437.97,10
2,13,15.8,3,13.7,25,3.6,24.2,4,3,670,10,2.29,352.17,1
11,7,16.4,3,15.1,16,4.1,37.5,0,3,1075,9,1,63.49,4
16,4,14.7,0,12.3,17,3.9,19.2,7,3,697,9,6,747.22,12
21,14,15.9,0,13.8,19,4,41.6,0,3,668,9,0.95,52.59,8
16,5,15.8,0,14.9,20,3.9,46.8,1,3,706,8,4.06,352.85,6
13,11,17.7,3,19.5,23,3.8,32.1,0,3,947,11,0.27,22.07,5
7,4,15.1,5,12.1,22,3.7,30.3,0,4,707,10,0.8,31.09,4
24,7,16.3,4,13.2,21,3.7,32.2,91,3,493,10,2.15,214.34,7
7,14,15.7,3,9.8,21,3.7,33.3,0,3,678,7,1.53,208.95,4
21,13,15.2,4,13.5,21,3.1,31.1,52,3,749,9,10.4,978.09,11
12,1,17.2,5,12.5,23,3.8,60.1,1,4,615,11,3.87,168.41,6
2,13,16.4,3,14.6,15,3.9,22.5,30,3,692,10,5.4,505.32,14
8,13,16.1,4,12.2,23,3.9,34.9,1,3,632,9,2.14,173.98,10
15,5,15,3,11.3,19,3.5,44.9,4,3,543,6,1.9,208.9,7
14,5,15.7,3,12.8,27,3.4,29.9,0,4,149,10,3.93,306.29,9
5,14,16.9,2,12.1,21,3.3,41.8,0,3,610,9,0.89,75.67,10
24,14,15.2,1,13.7,20,4,33.8,0,3,926,8,2.32,319.57,9
16,14,15.1,3,9,17,3.9,33,0,2,735,7,0.38,40.84,1
16,9,16,0,10.9,18,3.6,32.7,0,3,757,8,1.11,42.39,12
12,5,16.5,5,12.8,26,3.8,33.4,1,4,564,11,1.33,103.6,1
10,14,15.7,2,11.9,16,3.7,32.3,8,3,776,7,6.42,802.26,3
16,8,16.1,0,15.2,28,3.9,34,0,4,399,10,3.14,263.75,12
1,14,15.3,3,5.9,22,3.9,40.7,1,2,498,7,1.79,140.63,1
5,5,15.8,1,8.1,27,3.1,28.1,29,3,1363,10,12.35,1352.61,4
13,14,15.4,2,12.9,24,3.9,41.2,8,4,749,10,5.11,476.82,5
18,13,15.8,6,10,24,3.6,27.9,16,4,363,10,2.11,50.66,13
16,14,16,0,13,12,3.3,33.2,1,3,1425,9,5.67,665.86,5
16,13,16.5,0,10.9,17,4,29.5,1,4,794,9,2.43,281.47,10
21,3,16,3,14.5,25,3.6,32.3,0,3,720,10,0.91,54.61,11
12,5,15.4,5,17.2,16,3.5,41.6,97,3,1644,8,5.64,566.89,1
23,13,16.2,3,12.1,24,3.8,37.1,54,4,976,10,7.13,754.76,7
13,1,17,1,16.7,21,3.8,25.1,0,3,520,6,2.16,231.65,2
11,2,15.5,0,11.5,22,3.4,42.1,0,3,444,8,1.92,167.08,4
3,7,15.1,0,11.8,21,3.8,31.6,1,3,720,9,1.21,78.64,13
19,5,16.8,3,12.3,27,3.9,31.7,0,3,860,11,0.84,54.28,5
21,13,16.9,4,12,21,3.3,33,2,2,761,6,4.21,340.94,8
16,3,16.4,3,11.3,21,3.6,35.7,45,3,551,8,4.09,352.59,12
14,11,17.8,1,17.2,21,3.8,35.3,14,3,214,7,1.32,123.28,1
11,13,15.7,1,14.4,22,3.6,42.7,2,3,991,8,4.08,479.24,4
19,4,15.3,4,11.5,22,3.9,34.3,0,3,510,7,1.01,71.55,13
16,4,15.9,4,13.2,27,3.9,45.1,11,3,1189,7,2.43,383.36,1
16,14,15.7,0,12.7,19,3.9,27.4,3,2,754,7,5.95,952.79,12
23,1,16,3,12.4,19,4,25.9,1,2,920,7,3.92,366.22,10
2,13,15.9,4,13.4,21,3.9,32.5,1,4,799,10,3.58,388.89,14
14,2,16.9,0,15.8,16,3.6,43.6,0,3,383,11,3.39,263.92,11
12,14,14.8,0,12,19,2.9,30.8,123,3,832,8,3.02,344.7,3
17,11,16.2,1,12.9,25,3.4,31.8,1,3,737,10,0.58,60.17,9
19,2,17.7,3,14.6,14,3.9,20.7,0,3,708,11,0.99,80.81,2
21,13,16,4,13.4,28,3.4,27.8,1,2,1033,7,4.63,274.89,8
5,11,16.1,2,10.8,20,3.7,39.9,110,3,379,8,0.39,53.1,15
16,14,14.8,1,10,22,4,25.4,0,2,737,9,0.45,37.2,2
6,3,16.1,4,11.8,17,3.1,32.8,0,2,789,7,1.12,62.73,15
2,11,16.7,2,13.9,16,4.1,33.4,5,4,883,10,3.7,409.91,9
2,5,15,3,9.7,18,3.5,41.8,0,2,336,8,1.29,161.37,14
7,3,15.5,0,14,23,3.8,31.9,0,3,1010,9,0.53,42.26,15
16,5,16,0,11.1,22,3.8,31.9,0,2,855,8,1.5,82.35,1
24,4,15.7,2,10.8,29,3.8,38.5,0,3,787,9,2.72,249.02,13
7,7,15,3,11.4,24,3.9,41.9,2,3,1051,7,4.44,471.94,11
23,13,15.8,1,12.3,18,3.8,30.3,0,3,965,10,0.62,72.75,7
22,5,14.6,6,12.3,24,3.8,27.9,1,2,867,6,5.95,379.94,2
21,3,16.8,4,12.7,25,3.6,42.2,31,3,994,10,10.04,684.46,8
13,14,16.4,2,14,22,3.7,42.1,0,2,260,9,1.59,195.63,8
2,2,16.7,3,16.6,18,3.7,36,51,3,441,7,1.9,183.61,9
19,7,15.5,2,11.5,27,3.8,35.5,4,4,767,10,2.42,252.43,13
21,11,16.6,0,13.1,14,3.7,48.7,0,3,618,9,0.51,53.04,4
20,14,15.1,1,11.2,17,3.8,26.6,0,3,456,8,1.77,183.94,4
18,5,15,4,16.3,24,3.5,46.9,1,3,530,8,1.98,186.53,13
12,14,14.3,1,7.3,23,3.6,41.3,1,3,1079,8,4.67,570.52,10
2,13,16,3,12.3,23,3.6,32,0,3,388,10,2.16,238.14,9
24,13,16.4,3,10.2,18,3.6,25.1,61,3,506,8,2.68,105.88,13
24,14,16,4,10.7,17,3.9,35,0,2,792,6,0.63,62.16,13
1,11,15.3,0,13.8,29,3.9,45.1,38,3,324,8,5.15,490.52,1
16,4,15.9,0,8.8,20,4,34.7,15,2,1003,7,7.2,448.52,12
5,2,15.6,4,13.4,27,3.7,44.7,0,4,956,10,1.6,107.63,15
5,6,16.2,4,14,24,4.2,42.3,0,4,950,11,5.17,160.89,8
17,13,14.6,5,6.7,23,4,39.8,0,2,929,6,4.8,336.87,9
11,5,15.8,1,13.4,26,3.4,14,27,3,748,11,9.42,571.93,4
7,7,14.9,3,13,25,3.9,41.9,32,3,743,8,1.15,124.46,11
21,5,16.4,4,11.6,24,3.8,24.9,3,4,871,11,6.42,243.34,8
3,5,15.7,5,15,28,3.1,33.9,124,3,689,9,3.15,285.84,13
16,13,16,4,12.8,28,4,57.1,0,2,887,7,1.01,66.18,10
12,7,15.5,0,13.3,23,3.9,37.4,3,3,525,9,0.98,127.58,1
21,13,14.9,4,8.9,26,4.2,39.6,0,2,565,8,1.42,125.93,11
14,5,15.7,0,12.5,19,3.7,39.2,0,3,756,8,1.47,102.99,9
10,13,15.8,4,11.3,28,3.7,37.5,1,3,540,10,4.51,450,5
4,14,16.6,3,13.3,19,4,35.2,1,4,345,11,1.57,111.89,5
23,14,14.7,2,14.2,19,4.2,50.4,0,4,701,10,0.4,29.96,13
11,5,17.1,5,12.6,24,3.9,35.5,1,2,524,6,1.34,543.12,4
22,13,15,0,11.5,15,3.9,38.8,0,3,531,8,0.46,14.83,2
16,9,17.1,2,13,27,4,31.6,0,2,835,6,1.23,172.79,12
16,14,15.1,2,9.9,23,3.6,36.8,54,3,344,7,3.2,418.75,1
13,13,15,1,10.2,19,3.9,31.8,2,3,627,8,1.35,140.49,8
23,13,15.4,2,15,22,4,28.4,19,3,623,10,1.3,160.66,13
21,7,15.2,3,11.4,22,3.9,36.1,13,2,450,9,5.03,155.91,6
14,5,15.7,2,13.8,15,3.3,31,40,3,811,8,2.43,244.2,15
12,14,14.9,2,5.7,23,3.9,37.8,1,4,769,10,1.49,167.25,1
16,11,16.4,0,11.5,21,3.8,47.5,0,3,530,9,0.45,62.26,10
14,13,16.7,0,12.4,26,4,34.4,0,4,327,10,0.74,76.76,9
16,14,15.5,2,12.4,19,3.9,26.2,19,3,737,10,4.99,536.66,10
5,14,16.7,3,12.9,22,3.8,22.2,0,3,583,9,6.06,96.85,4
7,13,15.2,3,11.7,17,4.1,47.2,0,3,426,7,0.39,20.91,15
8,13,15.2,0,13.6,20,3.6,25.3,0,2,1337,7,1.66,109.47,10
12,14,14.8,1,10.2,18,3.9,36.5,1,4,60,9,0.41,52.22,1
23,13,16.2,2,11.9,21,3.7,22.7,41,4,711,9,1.24,96.06,7
21,13,16.1,3,12.5,20,3.6,25.2,114,2,571,9,0.15,53.76,11
13,13,16,1,8.2,19,3.6,45.8,0,4,1140,11,0.38,35.15,5
24,14,15.9,0,13.6,19,3.9,44.2,1,2,603,8,6.38,557.03,9
11,3,16.2,4,13.6,19,3.9,26.3,23,2,1049,7,14.69,472.55,4
13,14,16.6,3,13.5,17,3.8,35.6,1,5,515,11,1.85,142.62,5
16,4,15.2,6,10.4,24,3.5,30.2,0,3,657,10,0.26,16.38,10
16,4,16.6,4,13.4,22,4.3,37,0,4,428,11,4.29,299.54,12
5,11,15.6,1,11.1,14,4,46.3,32,3,722,9,6.57,669.42,15
24,13,16.8,1,15.5,22,4,30.3,1,3,365,9,1.41,73.92,13
19,7,15,5,11.5,27,3.7,43.2,0,3,802,8,2.57,38.44,13
24,6,16.2,4,9.8,24,3.6,42.8,0,2,497,7,3.26,216.23,13
14,5,15.3,2,11.8,16,3.7,30.5,0,2,247,7,1.74,180.96,11
2,5,15.5,0,15.1,24,3.8,37.3,44,3,960,9,3.67,451.54,9
16,13,15.5,2,12.4,24,3.5,37.5,0,4,361,10,0.65,119.92,15
24,14,16.4,1,15.7,22,3.9,36.4,0,2,745,6,1.11,83.66,13
21,2,17.4,0,15.2,28,3.5,50.6,7,4,573,11,4.05,133.23,8
21,11,16.2,0,11.1,21,3.7,28.8,26,3,911,9,4.1,224.37,1
13,5,15.2,3,9.5,18,3.7,40.1,0,4,782,10,1.46,84.6,14
14,2,17.1,3,11,22,3.6,32.7,1,4,638,11,3.43,264.09,15
13,9,15.4,4,11.7,28,3.3,47.7,0,3,620,6,0.47,20.52,3
